"Shape","Size_or_Ratio","Day","Area","BPM_gcamp","Maximum","FWHM","T0","T50","T75","BeatRatePeak_bpm","Time_Int_sec","Max_Contract_pixsec","Max_Relax","Group","ShapeGroup"
"Circle",200,18,-1.21011480022175,-1.29449658499584,-0.559808996815891,3.94004776698577,0.206263480909371,4.24903888473379,3.86204557802209,-1.2006254296218,3.73802668402285,2.14166542661049,-0.398877587260346,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-1.21076632215817,-1.09963126656012,-0.816029486017141,3.21869868901115,0.0122886097742545,3.56684588837715,3.25415523262562,-1.11343736355411,3.13177568003007,3.72408913498609,0.268667663343186,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-1.20147219739347,-1.20267393494548,-0.663261953068681,3.10533403362807,0.206263480909371,3.3693007657513,3.15068086010716,-1.2634773075905,3.27167843416603,2.69615519836707,0.190892926892142,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-1.39707418362379,-0.989201663026617,-1.26701802292779,3.03115821902417,-0.149357116171675,3.44906752809439,3.30805173383725,-0.908325445175431,3.31831268554468,3.28674180685474,2.36080112349765,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-1.35473874600218,-1.40684273012276,-0.78963789548691,3.16355990428247,0.0122886097742545,3.49312642570628,3.31185212815345,-1.417156238807,3.45822117575092,3.6847747952617,0.946522642192387,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-1.17110343282785,-1.25231997761214,-0.687922719431981,3.11159395786632,0.0122886097742545,3.47680831547965,3.17434695198534,-1.32883883189031,3.17840993140872,2.62249211408904,0.332757876609714,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-0.789871686616669,-1.18662448564163,-0.0402139451900757,2.32069969417636,0.206263480909371,2.50482487927488,2.3176171514756,-1.18206142808436,2.43225617327998,2.15248333037535,1.17953794583029,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,18,-0.922356102770301,-1.3025752520436,1.15841902563396,3.28910139859474,0.78818809431472,3.41931097415172,3.12520094366897,-1.33915052578606,2.8986044231368,4.31256283205927,2.24640561450656,"Circle Area 200 Day 18","Circle Area 200"
"Circle",200,20,-1.46039120538598,-1.11496359930749,-0.18162064291517,3.63245395544333,0.0122886097742545,4.04371866252937,3.78180543439132,-1.02030734073189,3.59812392988689,2.18067575030401,-0.0431803788204101,"Circle Area 200 Day 20","Circle Area 200"
"Circle",200,20,-1.45354361324507,-1.57165261482854,-0.597230397332833,3.03081520947686,0.25475719869315,3.2229177181301,2.94925996134834,-1.492703974686,2.8986044231368,0.532326165635844,-0.569315543372041,"Circle Area 200 Day 20","Circle Area 200"
"Circle",200,20,-1.29450646956806,-1.20792855891684,-0.224012332121405,2.477969571614,-0.569394741353563,2.83713839459593,2.655161264833,-1.16512869666213,2.66542743017325,2.75418172479106,0.768438497364559,"Circle Area 200 Day 20","Circle Area 200"
"Circle",200,20,-1.14899166916842,-1.12698323433378,-0.259532281124463,2.40002065198979,0.0122886097742545,2.59447849663764,2.32072656500704,-1.07217582534564,2.38562192190132,3.04259159940278,0.232996775877455,"Circle Area 200 Day 20","Circle Area 200"
"Circle",200,20,-1.37530813310598,-1.41718697779586,-1.13299167402041,2.66765385127162,-0.472407305786005,3.02873220643325,2.90788748686057,-1.41225504714861,3.03850717727276,0.912878232268195,-0.821289163017656,"Circle Area 200 Day 20","Circle Area 200"
"Circle",600,18,0.291915939019948,0.358641116449896,-0.0964960098087939,-0.39910875876242,-0.5843530025605,-0.322306915264751,-0.361833586644484,0.989823413417735,-0.424123272049111,2.3583680534094,1.87347146715701,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,1.24018203242762,2.57864993654573,-0.591933993546366,-0.513416690400576,-0.509802958803347,-0.43248295595958,-0.452265696850522,0.831243290542844,-0.0918499289234924,0.956038374782998,0.747842208801861,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,-0.0467676242183431,0.861726938558692,0.202717251506782,-0.278969664820142,-0.230179979144641,-0.259654970882877,-0.286171190712784,3.55293259268817,-0.170543077098616,0.569137440039466,0.350597181664019,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,-0.262712958535421,0.215135305019335,0.233148659294721,-0.389075729503857,-0.211361521497204,-0.381916012033778,-0.394223310930315,0.232663115323311,-0.0627049558294038,1.67137289460132,2.45676268393263,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,0.659811484407146,-0.239808515342138,0.201136186594011,0.255353457488448,0.981921703172305,-0.108760445728433,-0.117312761435988,-0.50108365876445,0.324365066683704,1.17602944164908,1.21134751185569,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,0.470737980074007,-0.284358588142851,-0.401166481978827,-0.169378114457379,0.497225787612046,-0.336292495617806,-0.323138662697679,-0.516466314511577,-0.0393878301400768,2.13083232204408,3.36957134978278,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,0.352015247663728,-1.47077398844105,0.722225148156815,1.78560480038634,0.25475719869315,1.8641950695543,1.70799935411722,-1.46280227678216,1.73273666652989,0.684187239985597,0.344951929718263,"Circle Area 600 Day 18","Circle Area 600"
"Circle",600,18,0.32938492985823,-1.71360996219024,0.480146269838141,-0.100947709770771,-0.472407305786005,-0.0268819279442462,-0.00658309067749609,-1.67216435503569,-0.109339207208058,-0.202627522040818,-0.840733233262561,"Circle Area 600 Day 18","Circle Area 600"
